,n,shut_count,start_count,obj_value
139,139,0,4,642506627.2748629
140,140,0,0,765787191.393928
141,141,0,0,75089181.19577768
142,142,4,2,1361440.6904083197
143,143,0,2,6845783.660464477
144,144,0,0,67172352.4122889
145,145,3,0,135915654.87360838
146,146,2,1,953756.1308286728
147,147,2,1,1245648.685716187
148,148,0,4,849526.4126216547
149,149,3,1,1703552.681047665
150,150,2,2,493363.26791228
151,151,0,1,1184967.20342273
152,152,2,4,1687229.201455836
153,153,2,1,1721992.0078135957
154,154,2,0,1084032.3869755706
155,155,0,3,1320584.5211197832
156,156,2,2,1635961.4512169752
157,157,4,0,1541803.1734309888
158,158,0,1,589181.9643428895
159,159,0,1,887690.8327386901
160,160,2,0,872507.058535713
161,161,0,2,1044173.8328864048
162,162,0,1,1573522.9590364897
163,163,1,0,1669999.4826071933
164,164,0,1,1234041.265621786
165,165,2,2,1760643.00730989
166,166,0,0,1546732.4121909076
167,167,1,0,1349884.0025668354
168,168,0,1,1227666.7354049876
169,169,0,1,5090402.497579847
170,170,2,0,1630296.0287085576
171,171,1,2,1115732.1477159096
172,172,0,1,8333931.16658476
173,173,0,0,1947039.727875577
174,174,0,0,14531852.353253469
175,175,0,0,2078956.6274095648
176,176,1,0,1631657.3706294063
177,177,0,1,1980164.6884088628
178,178,0,0,6612249.335686885
179,179,0,0,14519956.313614037
180,180,0,0,5301875.852832328
181,181,0,0,54158168.53897072
182,182,0,0,9714967.84420772
183,183,0,0,5286382.790696468
184,184,0,0,122008411.3680712
185,185,0,0,413050599.86382246
186,186,0,0,468931170.4354859
187,187,0,0,7011424.188431156
188,188,0,0,23373115.154161707
189,189,0,0,5534131.613579996
190,190,0,0,3901081.8843245
191,191,0,0,7936836.999345715
192,192,0,0,2291300.443567863
193,193,0,0,2724696.827079896
194,194,0,0,18051020.291601617
195,195,0,0,700214467.4379503
196,196,0,0,306151066.6164519
197,197,0,0,228908158.11936212
198,198,0,0,312536911.9120848
199,199,0,0,390771616.0893768
200,200,0,0,505219293.1871855
201,201,0,0,6610138.517377722
202,202,0,0,899115091.2197423
203,203,0,0,325239063.8260523
204,204,0,0,58248370.50347289
205,205,0,0,94527598.55810496
206,206,0,0,14655271.402897809
207,207,0,0,1920277.6453876104
208,208,0,0,2235770.1305769878
209,209,0,0,10029343.360704556
210,210,0,0,60771708.03407683
211,211,0,0,2175701.792405169
212,212,1,0,1892392.2463315025
213,213,0,0,1923838.7525576116
214,214,0,1,3050352.8857027413
215,215,0,0,2831751.3249483528
216,216,0,0,5579800.676052576
217,217,0,0,2299559.2715964746
218,218,0,0,2125408.535922823
219,219,4,0,1175041.7351314556
220,220,0,4,1496370.670403569
221,221,2,1,1582086.4772675044
222,222,0,0,2035653.1646822745
223,223,1,0,1387579.8912363248
224,224,0,1,1475103.3114842074
225,225,1,1,2226424.270560419
226,226,0,0,1762852.2449139697
227,227,0,1,10734508.624780118
228,228,0,0,89588950.44124146
229,229,0,0,416347350.6587137
230,230,0,0,14288315.566373538
231,231,0,0,2326733.4930994534
232,232,1,1,1806973.244170018
233,233,0,0,11291117.82558021
234,234,0,0,13719767.778444272
235,235,0,0,3240923.093370359
236,236,0,0,2779223.7340715886
237,237,0,0,2076839.46482949
238,238,0,0,2741733.2921234323
239,239,0,0,103499612.88024493
240,240,0,0,1437653177.4563093
241,241,0,0,436210744.56138337
242,242,0,0,2263528.86394084
243,243,3,0,1240082.321687726
244,244,0,2,2124361.9812976504
245,245,1,0,1386777.29383775
246,246,2,0,1140500.1341584737
247,247,2,4,2089438.719489876
248,248,0,0,1301269.732701302
249,249,0,0,1271523.4949516498
250,250,0,1,1628523.2289015248
251,251,0,1,6223272.316733616
252,252,2,1,1668432.4234433272
253,253,0,1,2717095659.118168
254,254,0,0,834618383.7520925
255,255,3,1,1542142.1512551997
256,256,0,2,14527575.126082908
257,257,3,0,192450794.97048533
258,258,0,2,1034597.9532164944
259,259,1,1,64023548.97334015
260,260,2,0,1127452.3382240003
261,261,0,3,2530203.2957608886
262,262,2,0,1417677.787649434
263,263,1,2,2306379.61383634
264,264,1,2,1135862.080692907
265,265,0,0,2560619.988402098
266,266,2,1,1664534.852127435
267,267,3,1,1264441.2169271414
268,268,0,3,5671280.603981055
269,269,2,0,19912461.261460587
270,270,0,0,1162666.61729564
271,271,0,2,1593000.497153256
272,272,2,0,1646772.0408908294
273,273,0,0,1287031.1094222823
274,274,0,0,1184300.5080744417
275,275,0,1,2043425.7378849697
276,276,0,0,1665260.3937872706
277,277,3,3,1201337.4526610929
278,278,3,0,1008390.3083509424
279,279,0,3,1136356.7361411953
280,280,1,2,1641301.4872250776
281,281,1,0,1831632.1036838903
282,282,1,2,2241944.0663710264
283,283,1,1,1728481.3370855006
284,284,0,0,2041409.842039116
285,285,1,0,1552852.3344172428
286,286,0,1,2433130.9815042787
287,287,0,0,11979852.297809744
288,288,0,0,46000035.03017065
289,289,0,0,11225805.4909195
290,290,0,0,26412843.49481201
291,291,0,0,2424188.408819167
292,292,0,0,2244231.170920506
293,293,1,1,2209726.230602433
294,294,0,0,10052162.645988457
295,295,0,0,86882457.6551043
296,296,0,0,25287609.83670488
297,297,0,0,52108613.78958152
298,298,0,0,281563347.069226
299,299,0,0,114631717.4042251
300,300,0,0,184837900.51860195
301,301,0,0,19937094.37539827
302,302,1,1,56260967.46009512
303,303,1,1,20200970.575688
304,304,0,0,221397358.0741489
305,305,1,1,10231379.790374707
306,306,0,0,151560204.54822895
307,307,0,0,82529809.37116997
308,308,0,0,188088349.6642753
309,309,1,1,24989097.086899847
310,310,0,0,243073859.99528143
311,311,0,0,110168977.38018768
312,312,0,0,22477686.074823983
313,313,0,0,203318736.74226367
314,314,0,0,112296077.3159136
315,315,0,0,32476363.354944024
316,316,0,0,279790434.96438235
317,317,0,0,289576689.36301434
318,318,1,0,905311835.289576
319,319,0,0,947147954.2549052
320,320,1,0,1605467968.9307137
321,321,0,0,1943907618.856608
322,322,0,0,2348620966.222718
323,323,0,0,1970877583.9420848
324,324,0,0,1356463649.376878
325,325,1,0,1485015781.6869838
326,326,0,0,2431510585.1878896
327,327,0,0,2018740642.4435184
328,328,0,1,2325172064.26
329,329,0,0,1513572778.0768747
330,330,0,1,140629717.5638779
331,331,1,0,1032856721.1775008
332,332,0,0,1856124346.0421083
333,333,0,0,755339497.5971664
334,334,0,0,477792115.1078976
335,335,0,1,897020048.8636096
336,336,1,0,268079918.98306683
337,337,0,0,2598332.7575553744
338,338,0,0,47236856.84617588
339,339,0,0,107899409.3727607
340,340,0,0,142661720.72243422
341,341,0,1,2312444.763489485
342,342,0,0,46238365.55303412
343,343,0,0,363668841.9276516
344,344,0,0,133341104.19980793
345,345,2,2,1464004.6532478994
346,346,1,0,1410683.9233930488
347,347,0,2,7109427.063771768
348,348,0,0,50988280.33782026
349,349,0,0,12272737.928376392
350,350,0,0,2275476.498297585
351,351,0,0,2101464.110424665
352,352,0,0,2332295.975335012
353,353,0,0,2827841.918402659
354,354,0,0,2125063.205013781
355,355,0,0,2013262.3513672813
356,356,2,0,27532208.652948298
357,357,0,1,1390261.993016172
358,358,0,1,29524984.583902366
359,359,0,0,6433795.517811023
360,360,0,0,6191642.06357016
