,n,shut_count,start_count,obj_value
0,0,1,5,2550280.934769192
1,1,3,1,1633517.4036033575
2,2,0,4,23810417.23785793
3,3,1,1,618826470.8708986
4,4,1,0,12269312.567609295
5,5,3,1,26436192.70095515
6,6,0,2,2290611.5275671347
7,7,1,0,1692429.753749339
8,8,0,1,1233572.0342850313
9,9,2,1,1673277.8735208835
10,10,0,0,1353077.31494458
11,11,1,0,1123103.1625845004
12,12,1,3,1267477.7495240811
13,13,1,2,530166119.00604177
14,14,0,0,2593187731.512
15,15,0,0,1209586772.7185142
16,16,0,0,793485747.8402896
17,17,3,0,1547592.3030666169
18,18,0,1,1295210.9806597235
19,19,1,2,1155170.4601558105
20,20,3,1,1533666.4375196693
21,21,1,0,665827.8199891448
22,22,1,1,340629.1182284347
23,23,1,1,738190.3150641595
24,24,0,1,631921.8552749215
25,25,0,2,1047705.7197256
26,26,4,1,934634.0834424852
27,27,2,2,1005642.063101053
28,28,0,1,466527.20536836
29,29,2,2,496843.39418178
30,30,2,2,596506.7034003956
31,31,3,2,883742.5446476192
32,32,1,1,1191812.498990612
33,33,0,0,766284.2979119134
34,34,0,2,2551841.1536145844
35,35,1,1,1827824.3392614955
36,36,1,0,1319001.7558925955
37,37,3,1,768242.029301079
38,38,1,3,570295.241764402
39,39,0,2,1538726.0774796507
40,40,3,0,1410232.3353054214
41,41,1,1,1135975.2970445454
42,42,0,1,878854.5115699191
43,43,0,1,1619088.0291080212
44,44,3,1,1150740.0656901803
45,45,1,3,1263252.4622472888
46,46,2,1,1271098.3258609883
47,47,2,2,1006309.6155970036
48,48,0,0,1180402.034885659
49,49,2,1,1549415.6337382845
50,50,0,3,2743350.789233275
51,51,2,0,1708271.2968867482
52,52,0,0,1154179.134677558
53,53,0,1,1320323.294035084
54,54,0,1,16567195.037390888
55,55,0,0,69680102.5631757
56,56,2,0,1581083.2978774912
57,57,1,2,2237870.452643202
58,58,1,1,1433260.4739181185
59,59,0,1,4447696.714050933
60,60,0,0,16146911.900447676
61,61,0,0,74948042.11262594
62,62,0,0,31484072.076219577
63,63,0,0,11262921.373616248
64,64,2,0,54939257.94533838
65,65,0,2,1567651.9944072985
66,66,0,0,9503169.90614086
67,67,1,0,33702213.848682955
68,68,0,1,9485591.904478474
69,69,0,0,136801942.4738151
70,70,0,0,41287605.63356849
71,71,0,0,56409469.71194609
72,72,1,0,14036421.66697959
73,73,1,0,1211577.8807790386
74,74,0,2,9347126.986603005
75,75,0,0,276345095.495233
76,76,0,0,85969377.37235163
77,77,0,0,2074384.622444218
78,78,0,0,5088823.551745384
79,79,0,0,10751091.559834622
80,80,0,0,17400867.414286695
81,81,0,0,2523262.252397091
82,82,0,0,36045220.71412335
83,83,0,0,2527273.3549026726
84,84,2,1,1485142.979214952
85,85,0,1,2061575.258996521
86,86,0,0,7715029.624375856
87,87,0,0,2871038.8753382294
88,88,2,0,1609600.9010551008
89,89,0,1,1609361.0498388922
90,90,0,1,2546727.0192714445
91,91,0,0,116723610.02488558
92,92,1,0,27451528.765630197
93,93,2,0,1018770.7266848783
94,94,0,0,1002780.6086558028
95,95,0,2,2362233.3029932715
96,96,3,0,1124880.2170398545
97,97,0,3,1729604.3121108408
98,98,1,1,1492761.3118644524
99,99,2,1,1780673.0599134266
100,100,0,0,1224433.2217631105
101,101,0,2,1930721.8152215527
102,102,0,0,2405316.7039707303
103,103,5,1,945648.5135728908
104,104,0,1,933590.4564262672
105,105,0,2,1407742.2231438055
106,106,4,1,904277.0387974536
107,107,1,1,882295.5391864253
108,108,0,2,1495181.591117968
109,109,0,0,1134016.96408251
110,110,0,0,1920525.830539181
111,111,0,1,1621513.570123515
112,112,1,0,1332288.82330256
113,113,0,1,1718129.130693959
114,114,2,1,1103264.0228291934
115,115,2,0,876984.5295070894
116,116,0,3,1863502.590823269
117,117,0,1,2537326.9551162864
118,118,3,0,52302796.461347446
119,119,0,0,758585.6958689
120,120,0,3,1698170.1940685874
121,121,2,0,1691632.8557349318
122,122,0,2,145956286.16288012
123,123,0,0,2133746.21545974
124,124,0,0,5107918.195265472
125,125,0,0,35569523.33762488
126,126,1,1,6960290.36235653
127,127,4,1,108871770.00456709
128,128,0,3,167775919.6393907
129,129,0,0,17848936.68771521
130,130,0,0,16885051.432783786
131,131,1,0,73251577.18696235
132,132,0,1,29489965.46815365
133,133,0,0,671223275.8005309
134,134,0,0,2463556.2290780344
135,135,1,1,29702367.02462317
136,136,4,0,9413160.320014792
137,137,0,4,2402122.552023914
138,138,4,0,57288598.1807057
