,r_id,resource,keff,ReacValue,p0,alpha,nearest_k
0,4,ap1000,1.205,17012.44813278009,0.5,1.0,1.20462
1,5,ap1000,1.205,17012.44813278009,0.5,1.0,1.20462
2,6,ap1000,1.205,17012.44813278009,0.5,1.0,1.20462
3,7,ap1000,1.205,17012.44813278009,0.5,1.0,1.20462
4,8,ap1000,1.205,17012.44813278009,0.5,1.0,1.20462
5,4,ap1000,1.2045657290245424,16982.529395901027,0.5,0.3819445694438919,1.20424
6,5,ap1000,1.204699958333333,16991.779315451262,0.5,0.2638888888888889,1.20462
7,6,ap1000,1.2042630116896955,16961.66117425587,0.5,0.6481867284999997,1.20424
8,7,ap1000,1.2042836064196831,16963.081231921373,0.5,0.6300735095136224,1.20424
9,8,ap1000,1.2042859379035755,16963.24199045262,0.5,0.6280229520005547,1.20424
10,4,ap1000,1.2045657290245424,16982.529395901027,0.5,0.0,1.20424
11,5,ap1000,1.2041394252424946,16953.13856212159,0.5,0.4929930438333332,1.20386
12,6,ap1000,1.203887959606362,16935.791904840364,0.5,0.3298611111111111,1.20386
13,7,ap1000,1.2037822210030165,16928.495657065017,0.5,0.4409722222222222,1.20348
14,8,ap1000,1.2037799396443387,16928.338223059793,0.5,0.4450292517474666,1.20348
15,4,ap1000,1.203699577353685,16922.79213070053,0.5,0.7617868697075103,1.20348
16,5,ap1000,1.2032423974751312,16891.226398073446,0.5,0.7889426274085413,1.2031
17,6,ap1000,1.2031506122906606,16884.886249102692,0.5,0.6485024764305558,1.2031
18,7,ap1000,1.2028529265053494,16864.31666211249,0.5,0.8173214579305575,1.20272
19,8,ap1000,1.202986409562922,16873.54137580595,0.5,0.6979156388888891,1.20272
20,4,ap1000,1.2026131897594303,16847.743853529584,0.5,0.9554860107777776,1.20234
21,5,ap1000,1.202152772427756,16815.89703607364,0.5,0.958333375,1.20196
22,6,ap1000,1.2021747929145163,16817.42073666092,0.5,0.8582404363625107,1.20196
23,7,ap1000,1.2017833157150106,16790.324268643886,0.5,0.9407306863137388,1.20158
24,8,ap1000,1.2019441595787137,16801.459366423125,0.5,0.9166666527777776,1.20158
25,4,ap1000,1.2019657313945136,16802.9525401023,0.5,0.5694444722222223,1.20196
26,5,ap1000,1.2014974182610894,16770.524447128133,0.5,0.5763888888888888,1.2012
27,6,ap1000,1.201521202334495,16772.1719719094,0.5,0.5748378012500002,1.2012
28,7,ap1000,1.2015503886316774,16774.193620061367,0.5,0.2048611111111111,1.2012
29,8,ap1000,1.201295537514921,16756.53752375824,0.5,0.5704679540833335,1.2012
30,4,ap1000,1.2016222626445137,16779.171700829356,0.5,0.3020833333333333,1.20158
31,5,ap1000,1.201093776565827,16742.55420261982,0.5,0.3550058885333333,1.20082
32,6,ap1000,1.2007158275555785,16716.347277956374,0.5,0.7083331388888888,1.20044
33,7,ap1000,1.2012069198816775,16750.396334837715,0.5,0.3020833333333333,1.2012
34,8,ap1000,1.2005374180735693,16703.9706596867,0.5,0.666771716228378,1.20044
35,4,ap1000,1.200858681251428,16726.254669875965,0.5,0.6715755436111112,1.20082
36,5,ap1000,1.201093776565827,16742.55420261982,0.5,0.0,1.20082
37,6,ap1000,1.1997941014572109,16652.3657029611,0.5,0.8106649941666667,1.19968
38,7,ap1000,1.200452467489764,16698.076176970604,0.5,0.6635465188333333,1.20044
39,8,ap1000,1.1996234425042411,16640.508632235684,0.5,0.8038483459351402,1.1993
40,4,ap1000,1.2001204207873863,16675.02838224263,0.5,0.6493055972220555,1.20006
41,5,ap1000,1.201093776565827,16742.55420261982,0.5,0.0,1.20082
42,6,ap1000,1.1994348410563358,16627.401025027302,0.5,0.3159722083333334,1.1993
43,7,ap1000,1.1997199969833297,16647.2174745375,0.5,0.644213286222111,1.19968
44,8,ap1000,1.19889222636676,16589.66686017327,0.5,0.6431100593502987,1.19854
45,4,ap1000,1.1995163895215948,16633.069065539676,0.5,0.5312500138888889,1.1993
46,5,ap1000,1.201093776565827,16742.55420261982,0.5,0.0,1.20082
